ID,PlayerName
1,Pelé
2,Ronaldo
3,Zinedine Zidane
4,Pelé
5,Pelé
6,Ronaldo
7,Zinedine Zidane
8,Ferenc Puskás
9,Johan Cruyff
10,Lev Yashin
11,Mané Garrincha
12,Paolo Maldini
13,Ronaldinho
14,Ronaldo
15,Zinedine Zidane
16,Gerd Müller
17,Lionel Messi
18,Carlos Alberto Torres
19,Éric Cantona
20,Eusébio
21,Franco Baresi
22,George Best
23,Lothar Matthäus
24,Marco van Basten
25,Roberto Baggio
26,Ruud Gullit
27,Thierry Henry
28,Xavier Hernández
29,Robert Lewandowski
30,Kylian Mbappé
31,Mané Garrincha
32,Alessandro Del Piero
33,Alessandro Nesta
34,Andrea Pirlo
35,Bobby Moore
36,Carles Puyol Saforcada
37,David Beckham
38,Dennis Bergkamp
39,Emilio Butragueño
40,Fabio Cannavaro
41,Ferenc Puskás
42,Gary Lineker
43,Hristo Stoichkov
44,Hugo Sánchez
45,Javier Zanetti
46,Kenny Dalglish
47,Luís Figo
48,Garrincha
49,Paolo Maldini
50,Peter Schmeichel
51,Raúl González Blanco
52,Rivaldo
53,Ruud van Nistelrooy
54,Samuel Eto'o
55,Müller
183,Jairzinho
57,Kevin De Bruyne
58,Sadio Mané
59,Lionel Messi
60,Kylian Mbappé
61,Mohamed Salah
62,Robert Lewandowski
63,Mohamed Salah
64,Bernardo Silva
65,Marcos Cafú
66,Eusébio
67,Johan Cruyff
68,Sadio Mané
69,Roberto Baggio
70,Virgil van Dijk
71,Lothar Matthäus
72,Alan Shearer
73,Andriy Shevchenko
74,Bastian Schweinsteiger
75,Clarence Seedorf
76,David Trezeguet
77,Didier Drogba
78,Pelé
79,Edwin van der Sar
80,Eusébio
81,Fernando Hierro Ruiz
82,Fernando Torres
83,Franco Baresi
84,Gheorghe Hagi
85,Ian Rush
86,Johan Cruyff
87,Riquelme
88,Kaká
89,Laurent Blanc
90,Lev Yashin
91,Lothar Matthäus
92,Marcel Desailly
93,Marco van Basten
94,Michael Ballack
95,Michael Laudrup
96,Michael Owen
97,Miroslav Klose
98,Patrick Kluivert
99,Patrick Vieira
100,Paul Scholes
101,Pavel Nedvěd
102,Petr Cech
103,Philipp Lahm
104,Robert Pirès
105,Roberto Baggio
106,Roberto Carlos
107,Ronald Koeman
108,Ronaldinho
109,Sócrates
110,Steven Gerrard
111,Zinedine Zidane
112,Robin van Persie
113,Wayne Rooney
114,Diego Forlán
115,Rudolf Völler
116,Karim Benzema
117,Robert Lewandowski
118,Kylian Mbappé
119,Kevin De Bruyne
120,Lionel Messi
121,Mohamed Salah
122,Aubameyang
123,Cristiano Ronaldo
124,Robert Lewandowski
125,Lionel Messi
126,Kylian Mbappé
127,Kevin De Bruyne
128,Karim Benzema
129,Christopher Nkunku
130,Heung Min Son
131,Emilio Butragueño
132,Bobby Moore
133,Luís Figo
134,Iker Casillas
135,Samuel Eto'o
136,Gareth Bale
137,Carles Puyol Saforcada
138,Fabio Cannavaro
139,Kenny Dalglish
140,Rafael Leão
141,Hristo Stoichkov
142,Alessandro Del Piero
143,Alessandro Nesta
144,Andrea Pirlo
145,Carles Puyol Saforcada
146,Carlos Alberto Torres
147,Christian Vieri
148,Claude Makélélé
149,Davor Šuker
150,Dennis Bergkamp
151,Emilio Butragueño
152,Emmanuel Petit
153,Éric Cantona
154,Frank Lampard
155,Frank Rijkaard
156,George Best
157,Gianfranco Zola
158,Henrik Larsson
159,Hernán Crespo
160,Hristo Stoichkov
161,Jari Litmanen
162,Juan Sebastián Verón
163,Kenny Dalglish
164,Luís Figo
165,Luis Hernández
166,Garrincha
167,Michael Essien
168,Nemanja Vidić
169,Peter Schmeichel
170,Rio Ferdinand
171,Rivaldo
172,Ronaldo
173,Roy Keane
174,Rui Manuel César Costa
175,Ruud Gullit
176,Ruud van Nistelrooy
177,Samuel Eto'o
178,Thierry Henry
179,Xavier Hernández
180,Jean-Pierre Papin
181,Lúcio
183,Jairzinho
184,Mohamed Salah
185,Virgil van Dijk
186,Cristiano Ronaldo
187,Thibaut Courtois
188,Manuel Neuer
189,Heung Min Son
190,Marcos Cafú
191,Erling Haaland
192,Thomas Müller
193,Neymar Jr
194,Franck Ribéry
195,Casemiro
196,João Cancelo
197,Sadio Mané
198,Kalidou Koulibaly
199,Vinícius Júnior
200,Frenkie de Jong
201,Virgil van Dijk
202,Thibaut Courtois
203,Cristiano Ronaldo
204,Manuel Neuer
205,Patrick Vieira
206,Franck Ribéry
207,Toni Kroos
208,Jürgen Kohler
209,Alejandro Gómez
210,Marcelo Brozovic
211,Morientes
212,Luka Modric
213,Marquinhos
214,Robin van Persie
215,Michael Laudrup
216,Didier Drogba
217,Miroslav Klose
218,Petr Cech
219,Bastian Schweinsteiger
220,Roberto Carlos
221,Andriy Shevchenko
222,Laurent Blanc
223,Bruno Fernandes
224,Gary Lineker
225,Gheorghe Hagi
226,Jude Bellingham
227,Alan Shearer
228,Ashley Cole
229,Bastian Schweinsteiger
230,Bobby Moore
231,David Beckham
232,David Trezeguet
233,Didier Drogba
234,Edwin van der Sar
235,Eusébio
236,Fabio Cannavaro
237,Ferenc Puskás
238,Fernando Hierro Ruiz
239,Gary Lineker
240,Gennaro Gattuso
241,Gheorghe Hagi
242,Gianluca Zambrotta
243,Hugo Sánchez
244,Ian Rush
245,Ian Wright
246,Johan Cruyff
247,John Barnes
248,Riquelme
249,Laurent Blanc
250,Lev Yashin
251,Marco van Basten
252,Michael Ballack
253,Michael Laudrup
254,Miroslav Klose
255,Paul Scholes
256,Pavel Nedvěd
257,Philipp Lahm
258,Kaká
259,Roberto Baggio
260,Ronaldinho
261,Sócrates
262,Sol Campbell
263,Steven Gerrard
264,Robin van Persie
265,Ricardo Carvalho
266,Yaya Touré
267,Jay-Jay Okocha
268,Tomas Brolin
269,Javier Mascherano
270,Rafael Márquez
271,Müller
272,Xabi Alonso
273,Neymar Jr
274,Heung Min Son
275,Sadio Mané
276,Joshua Kimmich
277,Casemiro
278,Alisson
279,Harry Kane
280,Ederson
281,N'Golo Kanté
282,Jan Oblak
283,Morientes
284,Abedi Pelé
285,David Ginola
286,Iker Casillas
287,Jürgen Kohler
288,Rudi Völler
289,Jean-Pierre Papin
290,Lucimar da Silva Ferreira
291,Marquinhos
292,Luka Modric
293,Antonio Rüdiger
294,Erling Haaland
295,Phil Foden
296,Gianluigi Donnarumma
297,João Cancelo
298,Gerard Piqué
299,Toni Kroos
300,Sergio Ramos
301,Thiago
302,Steven Berghuis
303,Jack Grealish
304,Antoine Griezmann
305,Kingsley Coman
306,Fabinho
307,Joshua Kimmich
308,Alisson
309,Heung Min Son
310,Ederson
